Year,BRA ID,Total Monthly Wages,Total Jobs,Total Establishments,Average Monthly Wage,Average age,Industry Diversity,Effective Industry Diversity,Occupation Diversity,Effective Occupation Diversity,Nominal Wage Growth (1 year),Nominal Wage Growth (5 year),Nominal Employee Growth (1 year),Nominal Employee Growth (5 year),Gini coefficient
2013,1ac,263737706.030,129232,6933,2040.810,37.027,380,32.277,498,73.826,0.094,0.142,0.034,0.055,0.444
2013,1am,1301560626.620,644411,20831,2019.770,36.297,548,75.450,573,96.653,0.125,0.121,0.047,0.047,0.451
2013,1ap,314290694.450,126731,5865,2479.980,37.042,360,35.896,490,61.568,0.118,0.135,0.028,0.052,0.481
2013,1pa,2138020426.170,1125536,53949,1899.560,36.185,566,58.931,584,94.470,0.182,0.172,0.073,0.059,0.448
2013,1ro,699538823.810,367645,27454,1902.760,35.589,513,52.735,549,76.675,0.083,0.173,0.008,0.070,0.428
2013,1rr,201441979.200,92157,4325,2185.860,36.459,335,21.701,450,58.040,0.086,0.221,-0.013,0.123,0.480
2013,1to,484990084.840,257536,21267,1883.190,35.770,469,36.771,553,85.413,0.068,0.145,0.044,0.038,0.451
2013,2al,788349110.590,509125,27761,1548.440,37.118,502,40.232,559,69.862,0.105,0.135,0.010,0.037,0.431
2013,2ba,4006179577.590,2314907,160715,1730.600,36.717,637,92.609,590,104.145,0.115,0.141,0.025,0.045,0.450
2013,2ce,2306361148.080,1495923,81347,1541.770,36.048,618,86.618,585,95.801,0.143,0.164,0.047,0.057,0.451
2013,2ma,1193457255.280,721490,37754,1654.160,37.012,538,48.850,568,77.337,0.126,0.166,0.038,0.062,0.425
2013,2pb,1002250264.090,659242,36748,1520.310,37.540,550,41.228,566,76.399,0.134,0.160,0.047,0.051,0.421
2013,2pe,2994994858.750,1758482,97243,1703.170,36.615,622,101.450,587,99.722,0.127,0.171,0.038,0.061,0.443
2013,2pi,724057518.220,444121,26424,1630.320,37.623,507,42.808,558,80.737,0.166,0.161,0.061,0.058,0.435
2013,2rn,1072037076.710,617645,38781,1735.690,37.130,555,66.529,567,80.075,0.113,0.142,0.026,0.037,0.460
2013,2se,764787964.030,405775,23880,1884.760,36.698,517,67.705,552,91.864,0.106,0.151,0.046,0.049,0.488
2013,3df,4926450425.210,1302284,57078,3782.930,35.542,538,57.796,585,56.160,0.146,0.117,0.102,0.054,0.555
2013,3go,2703497641.100,1509395,129143,1791.110,35.665,617,112.204,589,96.797,0.113,0.166,0.040,0.060,0.419
2013,3ms,1205847794.920,635625,58844,1897.110,36.054,564,93.432,582,106.667,0.134,0.150,0.031,0.051,0.438
2013,3mt,1502249847.650,792868,72022,1894.700,35.008,570,87.606,579,96.505,0.161,0.171,0.067,0.061,0.413
2013,4es,1767475421.480,954791,74685,1851.170,36.085,587,112.487,580,113.853,0.126,0.135,0.028,0.042,0.439
2013,4mg,8911981260.670,5057080,434748,1762.280,36.238,660,137.824,595,123.240,0.118,0.136,0.026,0.039,0.436
2013,4rj,11317405645.450,4586790,258844,2467.390,37.853,653,127.828,595,107.850,0.149,0.143,0.030,0.044,0.513
2013,4sp,32651842075.040,14024340,904104,2328.230,36.102,665,183.089,598,123.480,0.103,0.121,0.018,0.037,0.457
2013,5pr,6014756228.490,3121384,267756,1926.950,35.999,655,153.365,593,119.665,0.137,0.150,0.029,0.045,0.417
2013,5rs,6111667112.720,3082991,268702,1982.380,36.442,654,161.600,593,122.741,0.134,0.130,0.030,0.042,0.436
2013,5sc,4122719228.680,2210927,189524,1864.700,35.014,637,156.460,591,125.122,0.150,0.144,0.052,0.045,0.403
